                  50                   2                  20
                  12                   1                  12        0.0302421885
                  12                   1                  13        0.0331487230
                  12                   1                  14        0.0230366294
                  12                   1                  15        0.0212013112
                  12                   1                  16        0.0190977899
                  12                   1                  17        0.0187468655
                  12                   1                  18        0.0205593346
                  12                   1                  19        0.0115846067
                  13                   0                   0        0.5000000000
                  13                   0                   1        0.3783053020
                  13                   0                   2        0.2835039053
                  13                   0                   3        0.2397973341
                  13                   0                   4        0.2156462589
                  13                   0                   5        0.1980973594
                  13                   0                   6        0.1633221944
                  13                   0                   7        0.1468872526
                  13                   0                   8        0.0873214637
                  13                   0                   9        0.0583024166
                  13                   0                  10        0.0562516982
                  13                   0                  11        0.0502534703
                  13                   0                  12        0.0498086894
                  13                   0                  13        0.0497641737
                  13                   0                  14        0.0389018588
                  13                   0                  15        0.0391978090
                  13                   0                  16        0.0536057028
                  13                   0                  17        0.0340222061
                  13                   0                  18        0.0500634626
                  13                   0                  19        0.0239481475
                  13                   1                   0        0.5000000000
                  13                   1                   1        0.3661732967
                  13                   1                   2        0.2863278497
                  13                   1                   3        0.2413220733
                  13                   1                   4        0.2177901350
                  13                   1                   5        0.1805579150
                  13                   1                   6        0.1504424950
                  13                   1                   7        0.1144974413
                  13                   1                   8        0.0842317232
                  13                   1                   9        0.0690563988
                  13                   1                  10        0.0633980909
                  13                   1                  11        0.0540605850
                  13                   1                  12        0.0617624424
                  13                   1                  13        0.0409651506
                  13                   1                  14        0.0338657714
                  13                   1                  15        0.0475551275
                  13                   1                  16        0.0326681411
                  13                   1                  17        0.0240438353
                  13                   1                  18        0.0222172044
                  13                   1                  19        0.0216324154
                  14                   0                   0        0.5000000000
                  14                   0                   1        0.3766186668
                  14                   0                   2        0.3145016300
                  14                   0                   3        0.2672727997
                  14                   0                   4        0.2060801514
                  14                   0                   5        0.1750415466
                  14                   0                   6        0.1506693277
                  14                   0                   7        0.1221387560
                  14                   0                   8        0.1001152645
                  14                   0                   9        0.0762622604
                  14                   0                  10        0.0661600274
                  14                   0                  11        0.0596865917
                  14                   0                  12        0.0528822568
                  14                   0                  13        0.0373800719
                  14                   0                  14        0.0338822808
                  14                   0                  15        0.0254006043
                  14                   0                  16        0.0204994885
                  14                   0                  17        0.0199949536
                  14                   0                  18        0.0174179800
                  14                   0                  19        0.0185072019
                  14                   1                   0        0.5000000000
                  14                   1                   1        0.3836669392
                  14                   1                   2        0.2896233792
                  14                   1                   3        0.2350305324
                  14                   1                   4        0.1997559158
                  14                   1                   5        0.1516875219
                  14                   1                   6        0.1274986797
                  14                   1                   7        0.1005064445
                  14                   1                   8        0.0876183255
                  14                   1                   9        0.0792397491
                  14                   1                  10        0.0685042653
                  14                   1                  11        0.0608770667
                  14                   1                  12        0.0427193777
                  14                   1                  13        0.0395927624
                  14                   1                  14        0.0348926978
                  14                   1                  15        0.0334183598
                  14                   1                  16        0.0261842787
                  14                   1                  17        0.0175256180
                  14                   1                  18        0.0184152967
                  14                   1                  19        0.0169689798
                  15                   0                   0        0.5000000000
                  15                   0                   1        0.3918083182
                  15                   0                   2        0.3117765310
                  15                   0                   3        0.2651395145
                  15                   0                   4        0.2060461317
                  15                   0                   5        0.1650972852
                  15                   0                   6        0.1370626073
                  15                   0                   7        0.1235373299
